Parameter,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
A,-4.65689547485198,1.43003383236635,-2.18995866984153,-4.30329058323536,-6.75961912907627,-4.47791820695202,-1.6938956000787,-2.27616652120929,-6.29311990573772,-7.56239364329478
B,0.434769808978,0.365511508400243,0.464449320754375,0.396311371689325,0.453754395498568,0.68622308808702,0.365706291005815,0.873032681516761,0.365307035379997,0.448671156152318
C,0.445964789512098,0.37469503958338,0.475205984720022,0.405846603963512,0.466775744896823,0.704604506118661,0.374505309753411,0.896957508251792,0.374884445811604,0.459319267269801
